Index,num,tm,hh24,n,stn,sum_qctr,sum_load,n_mean_load,nph_ta,nph_hm,nph_ws_10m,nph_rn_60m,nph_ta_chi,weekday,week_name,elec
5971221,18538,2020-01-01 01:00:00,1,86,400,151505,23262.44,264.988814281781,-5.5,21.2,0.6,0.0,-5.1,2,0,102.08
5971222,18538,2020-01-01 02:00:00,2,86,400,151505,20845.2,264.988814281781,-5.0,19.8,1.4,0.0,-4.9,2,0,91.47
5971223,18538,2020-01-01 03:00:00,3,86,400,151505,18609.04,264.988814281781,-5.5,29.9,0.5,0.0,-5.1,2,0,81.66
5971224,18538,2020-01-01 04:00:00,4,86,400,151505,17034.04,264.988814281781,-5.2,42.4,0.7,0.0,-4.9,2,0,74.75
5971225,18538,2020-01-01 05:00:00,5,86,400,151505,16304.6,264.988814281781,-4.4,52.1,0.6,0.0,-5.0,2,0,71.55
5971226,18538,2020-01-01 06:00:00,6,86,400,151505,16336.56,264.988814281781,-4.2,58.5,0.7,0.0,-4.7,2,0,71.69
5971227,18538,2020-01-01 07:00:00,7,86,400,151505,17395.84,264.988814281781,-3.6,63.0,0.9,0.0,-4.3,2,0,76.33
5971228,18538,2020-01-01 08:00:00,8,86,400,151505,19424.92,264.988814281781,-3.2,63.1,0.4,0.0,-4.0,2,0,85.24
5971229,18538,2020-01-01 09:00:00,9,86,400,151505,22467.28,264.988814281781,-2.3,62.5,1.4,0.0,-4.0,2,0,98.59
5971230,18538,2020-01-01 10:00:00,10,86,400,151505,24539.12,264.988814281781,-1.1,57.2,1.0,0.0,-3.7,2,0,107.68
5971231,18538,2020-01-01 11:00:00,11,86,400,151505,25236.8,264.988814281781,-0.2,53.3,0.2,0.0,-3.3,2,0,110.74
5971232,18538,2020-01-01 12:00:00,12,86,400,151505,25039.8,264.988814281781,0.6,49.6,0.4,0.0,-2.2,2,0,109.88
5971233,18538,2020-01-01 13:00:00,13,86,400,151505,24680.96,264.988814281781,1.5,46.8,0.7,0.0,-1.0,2,0,108.3
5971234,18538,2020-01-01 14:00:00,14,86,400,151505,24040.36,264.988814281781,1.8,48.6,1.3,0.0,-0.3,2,0,105.49
5971235,18538,2020-01-01 15:00:00,15,86,400,151505,23290.2,264.988814281781,2.0,48.8,1.3,0.0,0.3,2,0,102.2
